word,definition,audio,image,
agua,물
aire,공기
amigo,친구
amor,사랑
animal,동물
año,년
arte,예술
azúcar,설탕
boca,입
cabeza,머리
cama,침대
casa,집
ciudad,도시
coche,차
color,색
comida,음식
cuerpo,몸
día,날
dinero,돈
dolor,고통
duda,의심
edad,나이
ejemplo,예
energía,에너지
escuela,학교
espacio,공간
estado,상태
estudiante,학생
familia,가족
felicidad,행복
flor,꽃
fuego,불
gato,고양이
gente,사람들
gobierno,정부
gracia,우아함
guerra,전쟁
habitación,방
hora,시간
idea,아이디어
iglesia,교회
imagen,이미지
información,정보
jardín,정원
joven,젊은이
juego,게임
lado,측면
lengua,언어
libro,책
luz,빛
madre,어머니
mano,손
mar,바다
mes,달
mesa,테이블
miedo,두려움
mujer,여자
mundo,세계
música,음악
niño,아이
noche,밤
nombre,이름
número,숫자
ojo,눈
oro,금
país,나라
palabra,단어
pan,빵
papel,종이
pareja,커플
paz,평화
persona,사람
piedra,돌
pieza,조각
planta,식물
poder,권력
puerta,문
razón,이유
regalo,선물
religión,종교
ropa,옷
salud,건강
seguridad,안전
semana,주
sendero,길
señal,신호
ser,존재
silla,의자
sol,태양
suerte,운
tamaño,크기
tiempo,시간
tren,기차
trabajo,일
universidad,대학교
vida,삶
voz,목소리
